"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
05/30/2020 05:30:19,Buy,,0.00094281,BTC,0.14503493,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
05/31/2020 05:46:19,Buy,,0.00093584,BTC,0.14597077,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/01/2020 05:25:24,Buy,,0.00093967,BTC,0.14691044,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/02/2020 05:24:02,Buy,,0.00088913,BTC,0.14779957,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/02/2020 17:23:14,Buy,,0.10342616,BTC,0.25122573,1000.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,1000.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,14.68,USD,,
06/03/2020 05:33:29,Buy,,0.00094503,BTC,0.25217076,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/04/2020 05:29:41,Buy,,0.00092942,BTC,0.25310018,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/05/2020 06:02:56,Buy,,0.00091764,BTC,0.25401782,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/06/2020 05:32:09,Buy,,0.00093431,BTC,0.25495213,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
06/07/2020 05:45:41,Buy,,0.00092763,BTC,0.25587976,10.00,Coinbase - BTC Wallet,,,Bought Bitcoin Using Chase - mwk *****0519,10.00,USD,,,Coinbase - Cash (USD),,,Bought Bitcoin Using Chase - mwk *****0519,0.99,USD,,
